id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_33pg(3).png,"L.Moholy-Nagy, 1928, Stage set",33,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_34pg(1).png,Ford factory at Detroit,34,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_34pg(2).png,Architecture -photo by Art Siegel,34,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_35pg(1).png,L.Moholy-Nagy. Space modulator with highlights,35,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_36pg(1).png,no discription,36,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_36pg(2).png,"1917, Self-Portrait",36,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_36pg(3).png,"1917, Landscape",36,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_36pg(4).png,"1926, Arrangement for a Bauhaus Festival",36,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_37pg(1).png,"1936, Window Display",37,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_37pg(2).png,no discription,37,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_37pg(3).png,"1920, Still Life",37,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_38pg(1).png,no discription,38,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_38pg(2).png,1920. Collage,38,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
,/Users/ohyoungmo/Bauhausorbits/14_The_New_Vision_and_Abstract_of_an_Artist_text/14_The_New_Vision_and_Abstract_of_an_Artist_text_38pg(3).png,"1922, Photogram-montage",38,-,-,The New Vision and Abstract of an Artist,Laszlo Mohly-Nagy
