id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_46pg(1).png,no discription,46,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_47pg(1).png,Oskar Schlemmer Variations on a Mask,47,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_47pg(2).png,Oskar Schlemmer Costume designs for the triadic Ballet,47,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_52pg(1).png,L.Moholy The Benevolent Gentlemen,52,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_54pg(1).png,"Marcel Breuer, ABC-Hippodrome",54,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_55pg(1).png,"Kurt Schmidt, Stage construction for the ""Mechanical Ballet""",55,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_56pg(1).png,"Kurt Schmidt with F.W Boger and Geog Teltscher ""Mechanical Ballet""",56,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_56pg(2).png,"Kurt Schmidt with F.W Boger and Geog Teltscher ""Mechanical Ballet""",56,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_57pg(1).png,"Kurt Schmidt, Man + Machine",57,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_59pg(1).png,Figures from the marionette plat the adventures of the little hunchback. Design: Kurt schmidt,59,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_60pg(1).png,Figures from the marionette plat the adventures of the little hunchback. Design: Kurt schmidt,60,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_62pg(1).png,no discription,62,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_64pg(1).png,no discription,64,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_66pg(1).png,"L.Moholy, Human Mechanics",66,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_67pg(1).png,"Alexander Schawinsky, Scene from the Circus",67,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_70pg(1).png,"L.Moholy, stage Scene Loud-Speaker",70,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_71pg(1).png,Baushaus Stage class,71,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_73pg(1).png,"Farkas Molnar, U-Theater in action",73,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_76pg(1).png,"Farkas Molnar, U-Theater in action",76,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_76pg(2).png,"Farkas Molnar, U-Theater in action",76,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_78pg(1).png,"Farkas Molnar, U-Theater",78,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_79pg(1).png,The building as stage,79,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_81pg(1).png,no discription,81,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_84pg(1).png,The Stage/with opening toward the main hall(Aula) and the canteen,84,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_85pg(1).png,no discription,85,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_87pg(1).png,Diagram of the Gestrue Dance by Oskar Schlemmer,87,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_88pg(1).png,no discription,88,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_90pg(1).png,"The Spherical Theater, designed by Andreas Weiniger",90,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_91pg(1).png,no discription,91,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_94pg(1).png,Figure in Space with placne Geometry and Spatial Delineations,94,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_94pg(2).png,Spatial Delineation with Figure,94,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_94pg(3).png,Stage in Dramatic Gesturing,94,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_95pg(1).png,From a Choric Pantomime,95,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_95pg(2).png,Space Dance,95,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_95pg(3).png,Form Dance,95,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_96pg(1).png,"Gesture Dance, Schlemmer",96,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_97pg(1).png,Light Play with Projections and Translucent Effects,97,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_98pg(1).png,From a Pantomime with Figures and Translucent Wall,98,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_99pg(1).png,"Gesture Dance, Schlemmer",99,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_99pg(2).png,A Scene for Three,99,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_99pg(3).png,Musical Clown,99,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_100pg(1).png,Equilibristics,100,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_100pg(2).png,From the Tradic Ballet by Oskar Schlemmer,100,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_101pg(1).png,Box Play,101,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_102pg(1).png,No discription,102,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_105pg(1).png,"Members of the Bauhaus stage class on the roof of the Bauhaus building , Dessau",105,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
,/Users/ohyoungmo/Bauhausorbits/04_The_Theater_of_the_Bauhaus/04_The_Theater_of_the_Bauhaus_108pg(1).png,Bauhaus dance in Weimar around 1922 or 1923,108,-,-,The theater of the Bauhaus,"Oskar Schlemmer, Laszlo Moholy-Nagy, Farkas Molnar"
